===========|==================================|============|============|======|      
0x60000264 | 00011111001001010000010101000110 | 0x1F250546 | 522519878  |%F| SPI0W9
0x60000268 | 01000001010010111111001011110111 | 0x414BF2F7 | 1095496439 | AKò÷ | SPI0W10
0x6000026C | 10000101101001010011011110111100 | 0x85A537BC | 2242197436 | ¥7¼ | SPI0W11
0x60000270 | 01110111001101000111110000101010 | 0x77347C2A | 1999928362 | w4|* | SPI0W12
0x60000274 | 00011110011010010010101100110000 | 0x1E692B30 | 510208816  |i+0| SPI0W13
0x60000278 | 10000101101110011001000011011101 | 0x85B990DD | 2243530973 | ¹Ý | SPI0W14
0x6000027C | 11001011001010111110010010101110 | 0xCB2BE4AE | 3408651438 | Ë+ä® | SPI0W15
0x60000280 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000284 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000288 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000028C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000290 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000294 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000298 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000029C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002A0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002A4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002A8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002AC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002B0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002B4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002B8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002BC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002C0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002C4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002C8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002CC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002D0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002D4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002D8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002DC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002E0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002E4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002E8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002EC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600002F0 | 10000000000010100000000001010000 | 0x800A0050 | 2148139088 |   P | SPI0E0
0x600002F4 | 10000000000011110000001001011000 | 0x800F0258 | 2148467288 | X | SPI0E1
0x600002F8 | 00000000000000000000000000000111 | 0x00000007 | 7          |      | SPI0E2
0x600002FC | 00000000000000000000000000000000 | 0x00000000 | 0          |      | SPI0E3
===========|==================================|============|============|======|      
  ADDRESS  | 33222222222211111111110000000000 | HEX VALUE  | DEC VALUE  | STR  |      
           | 10987654321098765432109876543210 |            |            |      |      
===========|==================================|============|============|======|      
0x60000300 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPO
0x60000304 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPOS
0x60000308 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPOC
0x6000030C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPE
0x60000310 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPES
0x60000314 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPEC
0x60000318 | 11000000000000110111000000111011 | 0xC003703B | 3221450811 | À p; | GPI
0x6000031C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPIE
0x60000320 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPIES
0x60000324 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPIEC
0x60000328 | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC0
0x6000032C | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC1
0x60000330 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPC2
0x60000334 | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC3
0x60000338 | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC4
0x6000033C | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC5
0x60000340 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPC6
0x60000344 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPC7
0x60000348 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPC8
0x6000034C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPC9
0x60000350 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPC10
0x60000354 | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPC11
0x60000358 | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC12
0x6000035C | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC13
0x60000360 | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC14
0x60000364 | 00000000000000000000000000000100 | 0x00000004 | 4          |      | GPC15
0x60000368 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000036C | 00000000000000000000000000000000 | 0x00000000 | 0          |      | GPIO_RTC_CALIB_SYNC
0x60000370 | 11000000000000000000000000000000 | 0xC0000000 | 3221225472 | À    | GPIO_RTC_CALIB_VALUE
0x60000374 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000378 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000037C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000380 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000384 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000388 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000038C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000390 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000394 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000398 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x6000039C | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003A0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003A4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003A8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003AC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003B0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003B4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003B8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003BC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003C0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003C4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003C8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003CC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003D0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003D4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003D8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003DC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003E0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003E4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003E8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003EC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003F0 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003F4 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003F8 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x600003FC | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
===========|==================================|============|============|======|      
  ADDRESS  | 33222222222211111111110000000000 | HEX VALUE  | DEC VALUE  | STR  |      
           | 10987654321098765432109876543210 |            |            |      |      
===========|==================================|============|============|======|      
0x60000400 | 00000000000000000000000000000000 | 0x00000000 | 0          |      |      
0x60000404 | 00000010110011010100101100110101 | 0x02CD4B35 | 47008565   |  ÍK5 |      
0x60000408 | 00000010110011010100101100110101 | 0x02CD4B35 | 47008565   |  ÍK5 |      
0x6000040C | 00000010110011010100101100110101 | 0x02CD4B35 | 47008565   |  ÍK5 |      
0x60000410 | 00000010110011010100101100110101 | 0x02CD4B35 | 47008565   |  ÍK5 |      
